IATA,Airport name,Country,City
RVN,Rovaniemi Airport,Finland,Rovaniemi
RVO,Reivilo Airport,South Africa,Reivilo
RVR,Green River Municipal Airport,United States of America,Green River
RVS,Tulsa Riverside Airport,United States of America,Tulsa
RVT,Ravensthorpe Airport,Australia,
RVV,Raivavae Airport,French Polynesia,
RVY,Presidente General Don Oscar D. Gestido International Airport,Uruguay,Rivera
RWF,Redwood Falls Municipal Airport,United States of America,Redwood Falls
RWI,Rocky Mount Wilson Regional Airport,United States of America,Rocky Mount
RWL,Rawlins Municipal Airport/Harvey Field,United States of America,Rawlins
RWN,Rivne International Airport,Ukraine,Rivne
RXE,Rexburg Madison County Airport,United States of America,Rexburg
RXS,Roxas Airport,Philippines,Roxas City
RYB,Staroselye Airport,Russia,Rybinsk
RYG,"Moss Airport, Rygge",Norway,Oslo
RYK,Shaikh Zaid Airport,Pakistan,Rahim Yar Khan
RYN,Royan-Médis Airport,France,Royan/Médis
RYO,28 de Noviembre Airport,Argentina,Rio Turbio
RZA,Santa Cruz Airport,Argentina,Puerto Santa Cruz
RZE,Rzeszów-Jasionka Airport,Poland,Jasionka
RZP,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,Philippines,Taytay
RZR,Ramsar Airport,Iran,Ramsar
RZS,Sawan Airport,Pakistan,Sawan Gas Field
RZV,Rize–Artvin Airport,Turkey,Rize
SAA,Shively Field,United States of America,Saratoga
SAB,Juancho E. Yrausquin Airport,Caribbean Netherlands,Zion's Hill
SAC,Sacramento Executive Airport,United States of America,Sacramento
SAD,Safford Regional Airport,United States of America,Safford
SAF,Santa Fe Municipal Airport,United States of America,Santa Fe
SAG,Shirdi Airport,India,Kakadi
SAH,Sanaa International Airport,Yemen,Sanaa
SAI,Siem Reap-Angkor International Airport,Cambodia,Siem Reap
SAK,Sauðárkrókur Airport,Iceland,Sauðárkrókur
SAL,Monseñor Óscar Arnulfo Romero International Airport,El Salvador,San Salvador (San Luis Talpa)
SAM,Salamo Airport,Papua New Guinea,Salamo
SAN,San Diego International Airport,United States of America,San Diego
SAP,Ramón Villeda Morales International Airport,Honduras,San Pedro Sula
SAQ,San Andros Airport,Bahamas,Andros Island
SAR,Sparta Community Airport - Hunter Field,United States of America,Sparta
SAS,Salton Sea Airport,United States of America,Salton City
SAT,San Antonio International Airport,United States of America,San Antonio
SAV,Savannah Hilton Head International Airport,United States of America,Savannah
SAW,Istanbul Sabiha Gökçen International Airport,Turkey,"Pendik, Istanbul"
SAX,Sambú Airport,Panama,Boca de Sábalo
SAY,Siena-Ampugnano Airport,Italy,Ampugnano (SI)
SAZ,Sasstown Airport,Liberia,Sasstown
SBA,Santa Barbara Municipal Airport,United States of America,Santa Barbara
SBB,Santa Bárbara de Barinas Airport,Venezuela,Santa Bárbara
SBC,Selbang Airport,Papua New Guinea,Selbang
SBD,San Bernardino International Airport,United States of America,San Bernardino
SBE,Suabi Airport,Papua New Guinea,
SBF,Sardeh Band Airport,Afghanistan,Sardeh Band
SBG,Maimun Saleh Airport,Indonesia,Sabang
SBH,Saint Barthélemy - Gustaf III Airport,Saint Barthelemy,Gustavia
SBI,Sambailo Airport,Guinea,Koundara
SBJ,São Mateus - Ernesto Bonomo Airport,Brazil,São Mateus
SBK,Saint-Brieuc-Armor Airport,France,"Trémuson, Côtes-d'Armor"
SBL,Santa Ana Del Yacuma Airport,Bolivia,Santa Ana del Yacuma
SBM,Sheboygan County Memorial Airport,United States of America,Sheboygan
SBN,South Bend Regional Airport,United States of America,South Bend
SBO,Salina Gunnison Airport,United States of America,Salina
SBP,San Luis County Regional Airport,United States of America,San Luis Obispo
SBQ,Sibi Airport,Pakistan,Sibi
SBR,Saibai Island Airport,Australia,Saibai Island
SBS,Steamboat Springs Bob Adams Field,United States of America,Steamboat Springs
SBT,Sabetta International Airport,Russia,Sabetta
SBU,Springbok Airport,South Africa,Springbok
SBV,Sabah Airport,Papua New Guinea,Sabah
SBW,Sibu Airport,Malaysia,Sibu
SBX,Shelby Airport,United States of America,Shelby
SBY,Salisbury Ocean City Wicomico Regional Airport,United States of America,Salisbury
SBZ,Sibiu International Airport,Romania,Sibiu
SCB,Scribner State Airport,United States of America,Scribner
SCC,Deadhorse Airport,United States of America,Deadhorse
SCD,Sulaco Airport,Honduras,Sulaco
SCE,State College Regional Airport,United States of America,State College
SCF,Scottsdale Airport,United States of America,Scottsdale
SCG,Spring Creek Airport,Australia,
SCH,Schenectady County Airport,United States of America,Schenectady
SCI,Paramillo Airport,Venezuela,San Cristóbal
SCK,Stockton Metropolitan Airport,United States of America,Stockton
SCL,Comodoro Arturo Merino Benítez International Airport,Chile,Santiago
SCM,Scammon Bay Airport,United States of America,Scammon Bay
SCN,Saarbrücken Airport,Germany,Saarbrücken
SCO,Aktau Airport,Kazakhstan,Aktau
SCP,Mont-Dauphin Saint-Crépin Airfield,France,"Saint-Crépin, Hautes-Alpes"
SCQ,Santiago-Rosalía de Castro Airport,Spain,Santiago de Compostela
SCR,Scandinavian Mountains Airport,Sweden,Malung-Sälen
SCT,Socotra International Airport,Yemen,Mori
SCU,Antonio Maceo International Airport,Cuba,Santiago
SCV,Suceava Stefan cel Mare Airport,Romania,Suceava
SCW,Syktyvkar Airport,Russia,Syktyvkar
SCX,Estación Aeronaval de Salina Cruz,Mexico,Salina Cruz
SCY,San Cristóbal Airport,Ecuador,Puerto Baquerizo Moreno
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Solomon Islands,Santa Cruz/Graciosa Bay/Luova
SDB,Langebaanweg Airport,South Africa,Langebaanweg
SDC,Sand Creek Airport,Guyana,Sand Creek
SDD,Lubango Airport,Angola,Lubango
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,Santiago del Estero
SDF,Louisville Muhammad Ali International Airport,United States of America,Louisville
SDG,Sanandaj Airport,Iran,
SDI,Saidor Airport,Papua New Guinea,Saidor
SDJ,Sendai Airport,Japan,Natori
SDK,Sandakan Airport,Malaysia,Sandakan
SDL,Sundsvall-Härnösand Airport,Sweden,Sundsvall/ Härnösand
SDM,Brown Field Municipal Airport,United States of America,San Diego
SDN,"Sandane Airport, Anda",Norway,Sandane
SDP,Sand Point Airport,United States of America,Sand Point
SDQ,Las Américas International Airport,Dominican Republic,Santo Domingo
SDR,Seve Ballesteros-Santander Airport,Spain,Santander
SDS,Sado Airport,Japan,Sado
SDT,Saidu Sharif Airport,Pakistan,Saidu Sharif
SDU,Santos Dumont Airport,Brazil,Rio de Janeiro
SDW,Sindhudurg Airport,India,Chipi
SDX,Sedona Airport,United States of America,Sedona
SDY,Sidney - Richland Regional Airport,United States of America,Sidney
SEA,Seattle–Tacoma International Airport,United States of America,Seattle
SEB,Sabha Airport,Libya,Sabha
SEE,Gillespie Field,United States of America,San Diego/El Cajon
SEF,Sebring Regional Airport,United States of America,Sebring
SEG,Penn Valley Airport,United States of America,Selinsgrove
SEH,Senggeh Airport,Indonesia,Senggeh
SEK,Srednekolymsk Airport,Russia,Srednekolymsk
SEM,Craig Field,United States of America,Selma
SEN,London Southend Airport,United Kingdom,"Southend-on-Sea, Essex"
SEO,Séguéla Airport,Ivory Coast,Séguéla
SEP,Stephenville Clark Regional Airport,United States of America,Stephenville
SEQ,Sungai Pakning Bengkalis Airport,Indonesia,Bengkalis-Sumatra Island
SER,Freeman Municipal Airport,United States of America,Seymour
SES,Svetlogorsk Airport,Russia,Svetlogorsk
SET,Santa Magalhães Airport,Brazil,Serra Talhada
SEU,Seronera Airport,Tanzania,Seronera
SEW,Siwa Oasis North Airport,Egypt,Siwa Oasis
SEY,Sélibaby Airport,Mauritania,Sélibaby
SEZ,Seychelles International Airport,Seychelles,Mahe Island
SFA,Sfax Thyna International Airport,Tunisia,Sfax
SFB,Orlando Sanford International Airport,United States of America,Orlando
SFC,St-François Airport,Guadeloupe,St-François
SFD,San Fernando de Apure Las Flecheras National Airport,Venezuela,San Fernando de Apure
SFE,San Fernando Airport,Philippines,San Fernando
SFF,Felts Field,United States of America,Spokane
SFG,Grand Case-l'Espérance Airport,Saint Martin,Grand Case
SFH,San Felipe International Airport,Mexico,Mexicali
SFJ,Kangerlussuaq Airport,Greenland,Kangerlussuaq
SFK,Soure Airport,Brazil,Soure
SFL,São Filipe Airport,Cape Verde,São Filipe
SFM,Sanford Seacoast Regional Airport,United States of America,Sanford
SFN,Sauce Viejo Airport,Argentina,Santa Fe
SFO,San Francisco International Airport,United States of America,San Francisco
SFS,Subic Bay International Airport / Naval Air Station Cubi Point,Philippines,Olongapo
SFT,Skellefteå Airport,Sweden,Skellefteå
SFU,Safia Airport,Papua New Guinea,Safia
SFX,Macagua Airport,Venezuela,Ciudad Guayana
SFZ,North Central State Airport,United States of America,Pawtucket
SGA,Sheghnan Airport,Afghanistan,Shiveh
SGC,Surgut Airport,Russia,Surgut
SGD,Sønderborg Airport,Denmark,Sønderborg
SGE,Siegerland Airport,Germany,Burbach
SGF,Springfield Branson National Airport,United States of America,Springfield
SGH,Springfield-Beckley Municipal Airport,United States of America,Springfield
SGK,Sengapi Airstrip,Papua New Guinea,Sengapi
SGM,San Ignacio Airport,Mexico,Mulegé
SGN,Tan Son Nhat International Airport,Vietnam,Ho Chi Minh City
SGO,St George Airport,Australia,
SGP,Shay Gap Airport,Australia,Shay Gap
SGQ,Sanggata/Sangkimah Airport,Indonesia,Sanggata/Sangkimah
SGR,Sugar Land Regional Airport,United States of America,Houston
SGT,Stuttgart Municipal Airport / Carl Humphrey Field,United States of America,Stuttgart
SGU,St George Regional Airport,United States of America,St George
SGV,Sierra Grande Airport,Argentina,Sierra Grande
SGX,Songea Airport,Tanzania,Songea
SGY,Skagway Airport,United States of America,Skagway
SGZ,Songkhla Airport,Thailand,
SHA,Shanghai Hongqiao International Airport,China,Shanghai (Minhang)
SHB,Nakashibetsu Airport,Japan,Nakashibetsu
SHC,Shire Inda Selassie Airport,Ethiopia,Shire Inda Selassie
SHD,Shenandoah Valley Regional Airport,United States of America,Weyers Cave
SHE,Shenyang Taoxian International Airport,China,"Hunnan, Shenyang"
SHF,Shihezi Huayuan Airport,China,Shihezi
SHG,Shungnak Airport,United States of America,Shungnak
SHH,Shishmaref Airport,United States of America,Shishmaref
SHI,Shimojishima Airport,Japan,Miyakojima
SHJ,Sharjah International Airport,United Arab Emirates,Sharjah
SHK,Sehonghong Airport,Lesotho,Sehonghong
SHL,Shillong Airport,India,Shillong
SHM,Nanki Shirahama Airport,Japan,Shirahama
SHN,Sanderson Field,United States of America,Shelton
SHO,King Mswati III International Airport,Eswatini,Mpaka
SHQ,Southport Airport,Australia,
SHR,Sheridan County Airport,United States of America,Sheridan
SHS,Jingzhou Shashi Airport,China,Jingzhou (Shashi)
SHT,Shepparton Airport,Australia,
SHU,Smith Point Airport,Australia,
SHV,Shreveport Regional Airport,United States of America,Shreveport
SHW,Sharurah Domestic Airport,Saudi Arabia,Sharurah
SHX,Shageluk Airport,United States of America,Shageluk
SHY,Shinyanga Airport,Tanzania,Shinyanga
SHZ,Seshutes Airport,Lesotho,Seshutes
SIA,Xi'an Xiguan Airport,China,Xi'an (Baqiao)
SIB,Sibiti Airport,Republic of the Congo,Sibiti
SIC,San José Island Airport,Panama,Las Perlas
SID,Amílcar Cabral International Airport,Cape Verde,Espargos
SIF,Simara Airport,Nepal,Simara
SIG,Fernando Luis Ribas Dominicci Airport,Puerto Rico,San Juan
SIH,Silgadi Doti Airport,Nepal,Silgadi Doti
SIJ,Siglufjörður Airport,Iceland,Siglufjörður
SIK,Sikeston Memorial Municipal Airport,United States of America,Sikeston
SIL,Sila Airport,Papua New Guinea,Sila Mission
SIM,Simbai Airport,Papua New Guinea,Simbai
SIN,Singapore Changi Airport,Singapore,Singapore
SIO,Smithton Airport,Australia,
SIP,Simferopol International Airport,Ukraine,Simferopol
SIQ,Dabo Airport,Indonesia,Pasirkuning-Singkep Island
SIR,Sion Airport,Switzerland,Sion
SIS,Sishen Airport,South Africa,Sishen
SIT,Sitka Rocky Gutierrez Airport,United States of America,Sitka
SIU,Siuna,Nicaragua,Siuna
SIV,Sullivan County Airport,United States of America,Sullivan
SIW,Sibisa Airport,Indonesia,Parapat-Sumatra Island
SIX,Singleton Airport,Australia,Singleton
SIZ,Sissano Airport,Papua New Guinea,Sissano
SJA,San Juan de Marcona Airport,Peru,San Juan de Marcona
SJB,San Joaquín Airport,Bolivia,San Joaquín
SJC,Norman Y. Mineta San Jose International Airport,United States of America,San Jose
SJD,Los Cabos International Airport,Mexico,San José del Cabo
SJE,Jorge E. Gonzalez Torres Airport,Colombia,San José Del Guaviare
SJH,San Juan Del César Airport,Colombia,San Juan Del César
SJI,San Jose Airport,Philippines,San Jose
SJJ,Sarajevo International Airport,Bosnia and Herzegovina,Sarajevo
SJK,Professor Urbano Ernesto Stumpf Airport,Brazil,São José Dos Campos
SJL,São Gabriel da Cachoeira Airport,Brazil,São Gabriel da Cachoeira
SJN,St Johns Industrial Air Park,United States of America,St Johns
SJO,Juan Santamaría International Airport,Costa Rica,San José (Alajuela)
SJP,Prof. Eribelto Manoel Reino State Airport,Brazil,São José do Rio Preto
SJQ,Sesheke Airport,Zambia,Sesheke
SJR,San Juan De Uraba Airport,Colombia,San Juan De Uraba
SJS,San José De Chiquitos Airport,Bolivia,San José de Chiquitos
SJT,San Angelo Regional Mathis Field,United States of America,San Angelo
SJU,Luis Munoz Marin International Airport,Puerto Rico,San Juan
SJV,San Javier Airport,Bolivia,San Javier
SJW,Shijiazhuang Zhengding International Airport,China,Shijiazhuang
SJX,Sartaneja Airport,Belize,Sartaneja
SJY,Seinäjoki Airport,Finland,Seinäjoki / Ilmajoki
SJZ,São Jorge Airport,Portugal,Velas
SKA,Fairchild Air Force Base,United States of America,Spokane
SKB,Robert L. Bradshaw International Airport,Saint Kitts and Nevis,Basseterre
SKC,Suki Airport,Papua New Guinea,Suki
SKD,Samarkand Airport,Uzbekistan,Samarkand
SKE,Skien Airport,Norway,Geiteryggen
SKF,Lackland Air Force Base,United States of America,San Antonio
SKG,Thessaloniki Macedonia International Airport,Greece,Thessaloniki
SKH,Surkhet Airport,Nepal,Surkhet
SKK,Shaktoolik Airport,United States of America,Shaktoolik
SKM,Skeldon Airport,Guyana,Skeldon
SKN,"Stokmarknes Airport, Skagen",Norway,Hadsel
SKO,Sadiq Abubakar III International Airport,Nigeria,Sokoto
SKP,Skopje International Airport,North Macedonia,Ilinden
SKQ,Sekakes Airport,Lesotho,Sekakes
SKR,Shakiso Airport,Ethiopia,Shakiso
SKT,Sialkot International Airport,Pakistan,Sialkot
SKU,Skiros Airport,Greece,Skiros Island
SKV,Saint Catherine International Airport,Egypt,Saint Catherine
SKW,Skwentna Airport,United States of America,Skwentna
SKX,Saransk Airport,Russia,Saransk
SKZ,Sukkur Airport,Pakistan,Mirpur Khas
SLA,Martin Miguel De Guemes International Airport,Argentina,Salta
SLB,Storm Lake Municipal Airport,United States of America,Storm Lake
SLC,Salt Lake City International Airport,United States of America,Salt Lake City
SLD,Sliač Airport,Slovakia,Sliač
SLE,Salem-Willamette Valley Airport/McNary Field,United States of America,Salem
SLF,As-Sulayyil Airport,Saudi Arabia,As-Sulayyil
SLG,Smith Field,United States of America,Siloam Springs
SLH,Sola Airport,Vanuatu,Sola
SLI,Solwesi Airport,Zambia,Solwesi
SLJ,Solomon Airport,Australia,Karijini National Park
SLK,Adirondack Regional Airport,United States of America,Saranac Lake
SLL,Salalah Airport,Oman,Salalah
SLM,Salamanca Airport,Spain,Salamanca
SLN,Salina Municipal Airport,United States of America,Salina
SLO,Salem–Leckrone Airport,United States of America,Salem
SLP,Ponciano Arriaga International Airport,Mexico,San Luis Potosí
SLQ,Sleetmute Airport,United States of America,Sleetmute
SLR,Sulphur Springs Municipal Airport,United States of America,Sulphur Springs
SLT,Salida Airport - Harriet Alexander Field,United States of America,Salida
SLU,George F. L. Charles Airport,Saint Lucia,Castries
SLV,Shimla Airport,India,Jubbarhatti
SLW,Plan De Guadalupe International Airport,Mexico,Saltillo
SLX,Salt Cay Airport,Turks and Caicos Islands,Salt Cay
SLY,Salekhard Airport,Russia,Salekhard
SLZ,Marechal Cunha Machado International Airport,Brazil,São Luís
SMA,Santa Maria Airport,Portugal,Vila do Porto
SMB,Franco Bianco Airport,Chile,Cerro Sombrero
SMD,Smith Field,United States of America,Fort Wayne
SME,Lake Cumberland Regional Airport,United States of America,Somerset
SMF,Sacramento International Airport,United States of America,Sacramento
SMH,Sapmanga Airport,Papua New Guinea,Sapmanga
SMI,Samos Airport,Greece,Samos Island
SMJ,Sim Airport,Papua New Guinea,Sim
SMK,St Michael Airport,United States of America,St Michael
SML,Stella Maris Airport,Bahamas,Stella Maris
SMM,Semporna Airport,Malaysia,Semporna
SMN,Lemhi County Airport,United States of America,Salmon
SMO,Santa Monica Municipal Airport,United States of America,Santa Monica
SMQ,Sampit (Hasan) Airport,Indonesia,Sampit
SMR,Simón Bolívar International Airport,Colombia,Santa Marta
SMS,Sainte Marie Airport,Madagascar,Vohilava
SMT,Adolino Bedin Regional Airport,Brazil,Sorriso
SMU,Sheep Mountain Airport,United States of America,Sheep Mountain
SMV,Samedan Airport,Switzerland,Samedan
SMW,Smara Airport,Western Sahara,Smara
SMX,Santa Maria Public Airport Captain G Allan Hancock Field,United States of America,Santa Maria
SMY,Simenti Airport,Senegal,Simenti
SMZ,Stoelmanseiland Airport,Suriname,Stoelmanseiland
SNA,John Wayne Orange County International Airport,United States of America,Santa Ana
SNB,Snake Bay Airport,Australia,Milikapiti
SNC,General Ulpiano Paez Airport,Ecuador,Salinas
SNE,Preguiça Airport,Cape Verde,Preguiça
SNF,Sub Teniente Nestor Arias Airport,Venezuela,San Felipe
SNG,Capitán Av. Juan Cochamanidis S. Airport,Bolivia,San Ignacio de Velasco
SNH,Stanthorpe Airport,Australia,
SNI,Greenville/Sinoe Airport,Liberia,Greenville
SNK,Winston Field,United States of America,Snyder
SNL,Shawnee Regional Airport,United States of America,Shawnee
SNM,San Ignacio de Moxos Airport,Bolivia,San Ignacio de Moxos
SNN,Shannon Airport,Ireland,Shannon
SNO,Sakon Nakhon Airport,Thailand,
SNP,St Paul Island Airport,United States of America,St Paul Island
SNQ,San Quintín Military Airstrip,Mexico,San Quintín
SNR,Saint-Nazaire-Montoir Airport,France,Saint-Nazaire/Montoir
SNS,Salinas Municipal Airport,United States of America,Salinas
SNT,Las Cruces Airport,Colombia,Sabana de Torres
SNU,Abel Santamaria Airport,Cuba,Santa Clara
SNV,Santa Elena de Uairén Airport,Venezuela,Santa Elena de Uairén
SNW,Thandwe Airport,Myanmar,Thandwe
SNX,Semnan Municipal Airport,Iran,Semnan
SNY,Sidney Municipal Airport Lloyd W Carr Field,United States of America,Sidney
SNZ,Santa Cruz Air Force Base,Brazil,Rio de Janeiro
SOA,Sóc Trăng Airport,Vietnam,Sóc Trăng
SOB,Hévíz–Balaton Airport,Hungary,Sármellék
SOC,Adisumarmo Airport,Indonesia,Surakarta
SOD,Sorocaba Airport,Brazil,Sorocaba
SOE,Souanke Airport,Republic of the Congo,Souanke
SOF,Sofia Airport,Bulgaria,Sofia
SOG,"Sogndal Airport, Haukåsen",Norway,Sogndal
SOH,Solita Airport,Colombia,Solita
SOJ,Sørkjosen Airport,Norway,Sørkjosen
SOK,Semonkong Airport,Lesotho,Semonkong
SOL,Solomon State Field,United States of America,Solomon
SOM,San Tomé Airport,Venezuela,El Tigre
SON,Santo Pekoa International Airport,Vanuatu,Luganville
SOO,Söderhamn Airport,Sweden,Söderhamn
SOP,Moore County Airport,United States of America,Carthage
SOQ,Domine Eduard Osok Airport,Indonesia,Sorong
SOR,Al Thaurah Airport,Syria,T2
SOT,Sodankyla Airport,Finland,Sodankyla
SOU,Southampton Airport,United Kingdom,Southampton
SOV,Seldovia Airport,United States of America,Seldovia
SOW,Show Low Regional Airport,United States of America,Show Low
SOX,Alberto Lleras Camargo Airport,Colombia,Sogamoso
SOY,Stronsay Airport,United Kingdom,Stronsay
SPA,Spartanburg Downtown Memorial Airport,United States of America,Spartanburg
SPC,La Palma Airport,Spain,"Sta Cruz de la Palma, La Palma Island"
SPD,Saidpur Airport,Bangladesh,Saidpur
SPE,Sepulot Airport,Malaysia,Sepulot
SPF,Black Hills Airport-Clyde Ice Field,United States of America,Spearfish
SPG,Albert Whitted Airport,United States of America,St Petersburg
SPH,Sopu Airport,Papua New Guinea,Sopu
SPI,Abraham Lincoln Capital Airport,United States of America,Springfield
SPJ,Sparti Airfield,Greece,Sparti
SPN,Saipan International Airport,Northern Mariana Islands,"I Fadang, Saipan"
SPP,Menongue Airport,Angola,Menongue
SPR,John Greif II Airport,Belize,San Pedro
SPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,United States of America,Wichita Falls
SPT,Sipitang Airport,Malaysia,Sipitang
SPU,Split Airport,Croatia,Kaštel Štafilić
SPV,Sepik Plains Airport,Papua New Guinea,Sepik Plains
SPW,Spencer Municipal Airport,United States of America,Spencer
SPX,Sphinx International Airport,Egypt,Al Jiza
SPY,San Pedro Airport,Ivory Coast,
SPZ,Springdale Municipal Airport,United States of America,Springdale
SQA,Santa Ynez Airport,United States of America,Santa Ynez
SQB,Santa Ana Airport,Colombia,Piedras
SQC,Southern Cross Airport,Australia,
SQD,Shangrao Sanqingshan Airport,China,Shangrao (Hengfeng)
SQE,San Luis De Palenque Airport,Colombia,San Luis De Palenque
SQF,Solano Airport,Colombia,Solano
SQG,Tebelian Airport,Indonesia,Sintang
SQH,Na San Airport,Vietnam,Mai Son
SQI,Whiteside County Airport - Joseph H Bittorf Field,United States of America,Rock Falls
SQJ,Sanming Shaxian Airport,China,Sanming (Sha)
SQK,Sidi EL Barrani Airport,Egypt,Sidi El Barrani
SQL,San Carlos Airport,United States of America,San Carlos
SQM,São Miguel do Araguaia Airport,Brazil,São Miguel do Araguaia
SQO,Storuman Airport,Sweden,Storuman
SQQ,Šiauliai International Airport,Lithuania,Šiauliai
SQR,Soroako Airport,Indonesia,Soroako
SQS,Matthew Spain Airport,Belize,Spanish Lookout
SQT,China Strait Airstrip,Papua New Guinea,Samarai Island
SQU,Saposoa Airport,Peru,Plaza Saposoa
SQV,Sequim Valley Airport,United States of America,Sequim
SQW,Skive Airport,Denmark,Skive
SQX,São Miguel do Oeste Hélio Wasum Airport,Brazil,São Miguel do Oeste
SQY,São Lourenço do Sul Airport,Brazil,São Lourenço Do Sul
SQZ,RAF Scampton,United Kingdom,Scampton
SRA,Luis Alberto Lehr Airport,Brazil,Santa Rosa
SRB,Santa Rosa De Yacuma Airport,Bolivia,Santa Rosa
SRD,San Ramón Airport,Bolivia,San Ramón / Mamoré
SRE,Alcantarí Airport,Bolivia,Yamparaez
SRG,Achmad Yani Airport,Indonesia,Semarang
SRH,Sarh Airport,Chad,Sarh
SRJ,Capitán Av. German Quiroga G. Airport,Bolivia,San Borja
SRL,Palo Verde Airport,Mexico,Mulegé
SRM,Sandringham Airport,Australia,Sandringham Station
SRN,Strahan Airport,Australia,
SRO,Santana Ramos Airport,Colombia,Santana Ramos
SRP,"Stord Airport, Sørstokken",Norway,Leirvik
SRQ,Sarasota Bradenton International Airport,United States of America,Sarasota/Bradenton
SRR,Dunwich Airport,Australia,North Stradbroke Island
SRS,San Marcos Airport,Colombia,San Marcos
SRT,Soroti Airport,Uganda,Soroti
SRV,Stony River 2 Airport,United States of America,Stony River
SRW,Mid-Carolina Regional Airport,United States of America,Salisbury
SRX,Sirt International Airport / Ghardabiya Airbase,Libya,Sirt
SRY,Sari Dasht-e Naz International Airport,Iran,Sari
SRZ,El Trompillo Airport,Bolivia,Santa Cruz
SSA,Deputado Luiz Eduardo Magalhães International Airport,Brazil,Salvador
SSC,Shaw Air Force Base,United States of America,Sumter
SSD,Víctor Lafón Airport,Chile,San Felipe
SSE,Solapur Airport,India,Solapur
SSF,Stinson Municipal Airport,United States of America,San Antonio
SSG,Malabo Airport,Equatorial Guinea,Malabo
SSH,Sharm El Sheikh International Airport,Egypt,Sharm El Sheikh
SSI,St Simons Island Airport,United States of America,St Simons Island
SSJ,"Sandnessjøen Airport, Stokka",Norway,Alstahaug
SSK,Sturt Creek Airport,Australia,Sturt Creek
SSL,Santa Rosalia Airport,Colombia,Santa Rosalia
SSO,São Lourenço Airport,Brazil,São Lourenço
SSP,Silver Plains Airport,Australia,Silver Plains
SSQ,La Sarre Airport,Canada,La Sarre
SSR,Sara Airport,Vanuatu,Pentecost Island
SSS,Siassi Airport,Papua New Guinea,Siassi
SST,Santa Teresita Airport,Argentina,Santa Teresita
SSW,Stuart Island Airpark,United States of America,Friday Harbor
SSX,Singita Safari Lodge Airport,South Africa,Singita Safari Lodge
SSY,Mbanza Congo Airport,Angola,Mbanza Congo
SSZ,Santos Nero Moura Air Base / Guarujá Airport,Brazil,Guarujá
STA,Stauning Vestjylland Airport,Denmark,Skjern
STB,Miguel Urdaneta Fernández Airport,Venezuela,San Carlos del Zulia
STC,Saint Cloud Regional Airport,United States of America,Saint Cloud
STD,Mayor Buenaventura Vivas International Airport,Venezuela,Santo Domingo
STE,Stevens Point Municipal Airport,United States of America,Stevens Point
STG,St George Airport,United States of America,St George
STH,Strathmore Airport,Australia,Strathmore
STI,Cibao International Airport,Dominican Republic,Santiago
STJ,Rosecrans Memorial Airport,United States of America,St Joseph
STK,Sterling Municipal Airport,United States of America,Sterling
STL,St. Louis Lambert International Airport,United States of America,St Louis
STM,Santarém - Maestro Wilson Fonseca International Airport,Brazil,Santarém
STN,London Stansted Airport,United Kingdom,London
STP,Saint Paul Downtown Holman Field,United States of America,Saint Paul
STQ,St Marys Municipal Airport,United States of America,St Marys
STR,Stuttgart Airport,Germany,Stuttgart
STS,Charles M. Schulz Sonoma County Airport,United States of America,Santa Rosa
STT,Cyril E. King Airport,Virgin Islands,Charlotte Amalie
STU,Santa Cruz Airport,Belize,Santa Cruz
STV,Surat Airport,India,Surat
STW,Stavropol Shpakovskoye Airport,Russia,Stavropol
STX,Henry E Rohlsen Airport,Virgin Islands,Christiansted
STY,Nueva Hesperides International Airport,Uruguay,Salto
STZ,Santa Terezinha Airport,Brazil,Santa Terezinha
SUA,Witham Field,United States of America,Stuart
SUB,Juanda International Airport,Indonesia,Surabaya
SUD,Stroud Municipal Airport,United States of America,Stroud
SUE,Door County Cherryland Airport,United States of America,Sturgeon Bay
SUF,Lamezia Terme Sant'Eufemia International Airport,Italy,Lamezia Terme (CZ)
SUG,Surigao Airport,Philippines,Surigao City
SUI,Sukhumi Babushara / Vladislav Ardzinba International Airport,Georgia,Sukhumi
SUJ,Satu Mare International Airport,Romania,Satu Mare
SUK,Sakkyryr Airport,Russia,Batagay-Alyta
SUL,Sui Airport,Pakistan,Sui
SUM,Sumter Airport,United States of America,Sumter
SUN,Friedman Memorial Airport,United States of America,Hailey
SUO,Sunriver Airport,United States of America,Sunriver
SUP,Trunojoyo Airport,Indonesia,Sumenep
SUQ,Sucúa Airport,Ecuador,Sucúa
SUR,Summer Beaver Airport,Canada,Summer Beaver
SUS,Spirit of St Louis Airport,United States of America,St Louis
SUT,Sumbawanga Airport,Tanzania,Sumbawanga
SUU,Travis Air Force Base,United States of America,Fairfield
SUV,Nausori International Airport,Fiji,Nausori
SUW,Richard I Bong Memorial Airport,United States of America,Superior
SUX,Sioux Gateway Airport / Brigadier General Bud Day Field,United States of America,Sioux City
SUY,Suntar Airport,Russia,Suntar
SVA,Savoonga Airport,United States of America,Savoonga
SVB,Sambava Airport,Madagascar,Sambava
SVC,Grant County Airport,United States of America,Silver City
SVD,Argyle International Airport,Saint Vincent and the Grenadines,Kingstown
SVE,Susanville Municipal Airport,United States of America,Susanville
SVF,Savé Airport,Benin,Savé
SVG,"Stavanger Airport, Sola",Norway,Stavanger
